,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity
130,66.989,5614,430,3,47,14,Female,No,Yes,Caucasian
131,69.165,4668,341,2,34,11,Female,No,No,African American
132,69.943,7555,547,3,76,9, Male,No,Yes,Asian
133,33.214,5137,387,3,59,9, Male,No,No,African American
134,25.124,4776,378,4,29,12, Male,No,Yes,Caucasian
135,15.741,4788,360,1,39,14, Male,No,Yes,Asian
136,11.603,2278,187,3,71,11, Male,No,Yes,Caucasian
137,69.656,8244,579,3,41,14, Male,No,Yes,African American
138,10.503,2923,232,3,25,18,Female,No,Yes,African American
139,42.529,4986,369,2,37,11, Male,No,Yes,Asian
140,60.579,5149,388,5,38,15, Male,No,Yes,Asian
141,26.532,2910,236,6,58,19,Female,No,Yes,Caucasian
142,27.952,3557,263,1,35,13,Female,No,Yes,Asian
143,29.705,3351,262,5,71,14,Female,No,Yes,Asian
144,15.602,906,103,2,36,11, Male,No,Yes,African American
145,20.918,1233,128,3,47,18,Female,Yes,Yes,Asian
146,58.165,6617,460,1,56,12,Female,No,Yes,Caucasian
147,22.561,1787,147,4,66,15,Female,No,No,Caucasian
148,34.509,2001,189,5,80,18,Female,No,Yes,African American
149,19.588,3211,265,4,59,14,Female,No,No,Asian
150,36.364,2220,188,3,50,19, Male,No,No,Caucasian
151,15.717,905,93,1,38,16, Male,Yes,Yes,Caucasian
152,22.574,1551,134,3,43,13,Female,Yes,Yes,Caucasian
153,10.363,2430,191,2,47,18,Female,No,Yes,Asian
154,28.474,3202,267,5,66,12, Male,No,Yes,Caucasian
155,72.945,8603,621,3,64,8,Female,No,No,Caucasian
156,85.425,5182,402,6,60,12, Male,No,Yes,African American
157,36.508,6386,469,4,79,6,Female,No,Yes,Caucasian
158,58.063,4221,304,3,50,8, Male,No,No,African American
159,25.936,1774,135,2,71,14,Female,No,No,Asian
160,15.629,2493,186,1,60,14, Male,No,Yes,Asian
161,41.4,2561,215,2,36,14, Male,No,Yes,Caucasian
162,33.657,6196,450,6,55,9,Female,No,No,Caucasian
163,67.937,5184,383,4,63,12, Male,No,Yes,Asian
164,180.379,9310,665,3,67,8,Female,Yes,Yes,Asian
165,10.588,4049,296,1,66,13,Female,No,Yes,Caucasian
166,29.725,3536,270,2,52,15,Female,No,No,African American
167,27.999,5107,380,1,55,10, Male,No,Yes,Caucasian
168,40.885,5013,379,3,46,13,Female,No,Yes,African American
169,88.83,4952,360,4,86,16,Female,No,Yes,Caucasian
170,29.638,5833,433,3,29,15,Female,No,Yes,Asian
171,25.988,1349,142,4,82,12, Male,No,No,Caucasian
172,39.055,5565,410,4,48,18,Female,No,Yes,Caucasian
173,15.866,3085,217,1,39,13, Male,No,No,Caucasian
174,44.978,4866,347,1,30,10,Female,No,No,Caucasian
175,30.413,3690,299,2,25,15,Female,Yes,No,Asian
176,16.751,4706,353,6,48,14, Male,Yes,No,Asian
177,30.55,5869,439,5,81,9,Female,No,No,African American
178,163.329,8732,636,3,50,14, Male,No,Yes,Caucasian
179,23.106,3476,257,2,50,15,Female,No,No,Caucasian
180,41.532,5000,353,2,50,12, Male,No,Yes,Caucasian
181,128.04,6982,518,2,78,11,Female,No,Yes,Caucasian
182,54.319,3063,248,3,59,8,Female,Yes,No,Caucasian
183,53.401,5319,377,3,35,12,Female,No,No,African American
184,36.142,1852,183,3,33,13,Female,No,No,African American
185,63.534,8100,581,2,50,17,Female,No,Yes,Caucasian
186,49.927,6396,485,3,75,17,Female,No,Yes,Caucasian
187,14.711,2047,167,2,67,6, Male,No,Yes,Caucasian
188,18.967,1626,156,2,41,11,Female,No,Yes,Asian
189,18.036,1552,142,2,48,15,Female,No,No,Caucasian
190,60.449,3098,272,4,69,8, Male,No,Yes,Caucasian
191,16.711,5274,387,3,42,16,Female,No,Yes,Asian
192,10.852,3907,296,2,30,9, Male,No,No,Caucasian
193,26.37,3235,268,5,78,11, Male,No,Yes,Asian
194,24.088,3665,287,4,56,13,Female,No,Yes,Caucasian
195,51.532,5096,380,2,31,15, Male,No,Yes,Caucasian
196,140.672,11200,817,7,46,9, Male,No,Yes,African American
197,42.915,2532,205,4,42,13, Male,No,Yes,Asian
198,27.272,1389,149,5,67,10,Female,No,Yes,Caucasian
199,65.896,5140,370,1,49,17,Female,No,Yes,Caucasian
200,55.054,4381,321,3,74,17, Male,No,Yes,Asian
201,20.791,2672,204,1,70,18,Female,No,No,African American

